iter	Passed	Remaining
163	1910	33032
164	1919	32976
165	1929	32935
166	1939	32907
167	1950	32882
168	1964	32904
169	1973	32860
170	1984	32824
171	1993	32782
172	2003	32743
173	2014	32712
174	2025	32695
175	2036	32683
176	2047	32659
177	2059	32650
178	2070	32629
179	2080	32600
180	2092	32585
181	2103	32565
182	2115	32557
183	2126	32545
184	2137	32519
185	2148	32509
186	2160	32505
187	2171	32486
188	2183	32470
189	2194	32455
190	2205	32437
191	2216	32409
192	2227	32397
193	2238	32384
194	2250	32366
195	2261	32353
196	2274	32366
197	2285	32339
198	2295	32314
199	2306	32288
200	2316	32262
201	2328	32255
202	2339	32239
203	2350	32220
204	2361	32192
205	2371	32162
206	2382	32143
207	2393	32125
208	2403	32092
209	2412	32051
210	2422	32025
211	2433	32006
212	2444	31980
213	2454	31953
214	2464	31925
215	2475	31904
216	2486	31884
217	2496	31854
218	2505	31820
219	2516	31801
220	2527	31778
221	2537	31757
222	2547	31724
223	2557	31699
224	2567	31666
225	2578	31649
226	2588	31625
227	2600	31610
228	2610	31586
229	2621	31569
230	2631	31543
231	2642	31524
232	2652	31498
233	2663	31482
234	2674	31467
235	2684	31444
236	2696	31431
237	2705	31400
238	2717	31391
239	2728	31378
240	2739	31356
241	2748	31326
242	2759	31304
243	2768	31274
244	2778	31249
245	2790	31241
246	2802	31231
247	2813	31216
248	2823	31191
249	2833	31172
250	2845	31160
251	2856	31147
252	2867	31139
253	2878	31118
254	2888	31094
255	2899	31079
256	2909	31058
257	2920	31041
258	2931	31021
259	2941	31002
260	2951	30979
261	2962	30964
262	2973	30940
263	2982	30913
264	2994	30901
265	3004	30879
266	3014	30861
267	3026	30848
268	3037	30833
269	3047	30813
270	3058	30796
271	3068	30779
272	3079	30757
273	3089	30740
274	3099	30716
275	3111	30706
276	3122	30691
277	3133	30680
278	3145	30678
279	3157	30670
280	3169	30671
281	3181	30665
282	3195	30676
283	3207	30671
284	3220	30678
285	3233	30682
286	3247	30698
287	3259	30698
288	3287	30840
289	3300	30840
290	3312	30839
291	3325	30843
292	3338	30846
293	3351	30843
294	3362	30832
295	3374	30823
296	3385	30811
297	3397	30806
298	3410	30804
299	3436	30924
300	3447	30913
301	3460	30915
302	3473	30920
303	3486	30924
304	3498	30913
305	3511	30910
306	3523	30910
307	3536	30908
308	3549	30914
309	3563	30922
310	3575	30913
311	3589	30922
312	3603	30939
313	3615	30924
314	3626	30909
315	3636	30889
316	3648	30876
317	3660	30876
318	3673	30871
319	3684	30854
320	3695	30841
321	3707	30837
322	3718	30821
323	3730	30810
324	3741	30796
325	3752	30777
326	3763	30766
327	3790	30877
328	3801	30864
329	3813	30855
330	3825	30848
331	3838	30845
332	3849	30828
333	3861	30826
334	3879	30863
335	3895	30885
336	3910	30899
337	3923	30899
338	3937	30909
339	3949	30899
340	3962	30898
341	3973	30881
342	3984	30866
343	3997	30861
344	4008	30850
345	4019	30831
346	4031	30822
347	4043	30813
348	4055	30808
349	4067	30795
350	4078	30782
351	4089	30763
352	4101	30756
353	4114	30757
354	4126	30748
355	4138	30734
356	4151	30733
357	4164	30736
358	4177	30735
359	4190	30727
360	4207	30757
361	4225	30789
362	4243	30825
363	4260	30854
364	4278	30884
365	4296	30918
366	4312	30939
367	4327	30950
368	4338	30934
369	4349	30916
370	4361	30905
371	4372	30890
372	4384	30879
373	4396	30871
374	4409	30866
375	4420	30852
376	4432	30841
377	4444	30828
378	4456	30817
379	4478	30879
380	4490	30866
381	4501	30850
382	4511	30828
383	4523	30813
384	4533	30795
385	4544	30773
386	4555	30755
387	4565	30736
388	4576	30717
389	4588	30707
390	4599	30690
391	4610	30675
392	4622	30661
393	4633	30650
394	4646	30642
395	4668	30701
396	4680	30685
397	4692	30676
398	4705	30673
399	4717	30663
400	4728	30649
401	4740	30635
402	4751	30617
403	4763	30606
404	4773	30588
405	4784	30567
406	4796	30558
407	4809	30551
408	4819	30533
409	4832	30524
410	4845	30522
411	4858	30518
412	4870	30506
413	4882	30500
414	4895	30492
415	4907	30480
416	4919	30472
417	4931	30460
418	4943	30450
419	4955	30439
420	4966	30422
421	4976	30400
422	4986	30377
423	4996	30355
424	5006	30336
425	5018	30320
426	5029	30306
427	5041	30295
428	5053	30286
429	5066	30280
430	5077	30265
431	5089	30251
432	5099	30231
433	5110	30216
434	5122	30203
435	5133	30191
436	5145	30179
437	5156	30164
438	5167	30147
439	5179	30137
440	5191	30124
441	5202	30110
442	5214	30097
443	5228	30096
444	5240	30086
445	5260	30126
446	5270	30103
447	5281	30083
448	5293	30072
449	5303	30053
450	5313	30031
451	5324	30013
452	5335	29997
453	5344	29972
454	5355	29953
455	5365	29936
456	5376	29917
457	5386	29897
458	5397	29878
459	5406	29855
460	5418	29842
461	5428	29822
462	5440	29812
463	5451	29794
464	5461	29773
465	5471	29751
466	5481	29730
467	5491	29709
468	5501	29688
469	5511	29669
470	5521	29648
471	5532	29631
472	5542	29610
473	5553	29594
474	5564	29577
475	5574	29557
476	5584	29536
477	5594	29515
478	5604	29498
479	5616	29484
480	5626	29465
481	5636	29443
482	5646	29425
483	5657	29411
484	5668	29393
485	5678	29375
486	5690	29362
487	5701	29346
488	5711	29326
489	5723	29316
490	5733	29297
491	5742	29274
492	5752	29250
493	5763	29236
494	5774	29220
495	5784	29200
496	5794	29184
497	5806	29173
498	5818	29161
499	5828	29142
500	5838	29124
501	5850	29112
502	5861	29098
503	5873	29086
504	5884	29074
505	5897	29068
506	5909	29059
507	5920	29040
508	5932	29033
509	5944	29020
510	5953	29000
511	5964	28985
512	5975	28970
513	5986	28953
514	5997	28941
515	6008	28923
516	6018	28906
517	6029	28888
518	6039	28870
519	6050	28856
520	6061	28839
521	6071	28821
