iter	Logloss
197	0.6473521459
198	0.6472593466
199	0.6471419279
200	0.6470569755
201	0.6469729077
202	0.6468274655
203	0.6467791255
204	0.6467090246
205	0.6466134989
206	0.6464950153
207	0.6464352045
208	0.6463365473
209	0.6462331707
210	0.6461198619
211	0.6460080871
212	0.6459265584
213	0.6458666636
214	0.6457675839
215	0.6457169216
216	0.6456501766
217	0.6455530408
218	0.6454515283
219	0.6453632231
220	0.6452832125
221	0.6451802744
222	0.6451155784
223	0.6450185083
224	0.6449352963
225	0.6448439601
226	0.6447562443
227	0.6447099513
228	0.6446342469
229	0.644507065
230	0.6444039003
231	0.6442921609
232	0.6442051767
233	0.6441076705
234	0.6440191771
235	0.6439260539
236	0.6438028378
237	0.6437408143
238	0.6436725706
239	0.6435928607
240	0.6434757453
241	0.6433615317
242	0.6433055246
243	0.6432553096
244	0.6431686895
245	0.6430672676
246	0.6429903773
247	0.6428674562
248	0.6427980269
249	0.6426843667
250	0.6425754725
251	0.642525031
252	0.6424204737
253	0.6423174412
254	0.6422379912
255	0.6421449954
256	0.6420915562
257	0.6420406029
258	0.6419534013
259	0.6418466185
260	0.6417355779
261	0.6416684445
262	0.6415968673
263	0.641553187
264	0.641467647
265	0.6413689924
266	0.6412654812
267	0.6411525331
268	0.6410584869
269	0.6409761989
270	0.640890279
271	0.6408148646
272	0.6407411759
273	0.6406598586
274	0.6405599327
275	0.6404272368
276	0.640383303
277	0.6402856264
278	0.6401919276
279	0.6401004811
280	0.6400202374
281	0.6399204875
282	0.6398498442
283	0.6397702434
284	0.6396863717
285	0.6396042641
286	0.6395335792
287	0.6394375319
288	0.6393364168
289	0.6392490014
290	0.6391454218
291	0.6390134746
292	0.638904702
293	0.6388306628
294	0.6387497104
295	0.6386813581
296	0.6386125523
297	0.6385437881
298	0.638477908
299	0.6383812767
300	0.638293511
301	0.6381960064
302	0.6381030461
303	0.6379852814
304	0.6379262756
305	0.6378524817
306	0.6377937781
307	0.6377137606
308	0.6375946824
309	0.6374970966
310	0.6374289545
311	0.6373291181
312	0.6371947203
313	0.6370983309
314	0.6369954367
315	0.6368741289
316	0.6367990879
317	0.6366868394
318	0.6365768574
319	0.6364827099
320	0.6363921988
321	0.6362404558
322	0.6361551691
323	0.6361066873
324	0.6359994705
325	0.635926224
326	0.6358385736
327	0.635745619
328	0.6356104201
329	0.6354682126
330	0.6353685252
331	0.6352996825
332	0.6352277054
333	0.6351422763
334	0.6350723954
335	0.6350044115
336	0.6349318969
337	0.6348021634
338	0.6347154602
339	0.6346384992
340	0.6345529731
341	0.6344512416
342	0.6343155921
343	0.6342042095
344	0.6340877831
345	0.6339641337
346	0.6338371159
347	0.6337499344
348	0.6336087161
349	0.633499016
350	0.6333850295
351	0.6332627033
352	0.6331680414
353	0.6330258802
354	0.6329167328
355	0.6328328009
356	0.6327611889
357	0.6326515513
358	0.6325077095
359	0.6324272709
360	0.6322809231
361	0.6321708022
362	0.6320669103
363	0.6319803735
364	0.6318637154
365	0.6317722525
366	0.6316380739
367	0.6315292241
368	0.6314337383
369	0.6313583093
370	0.6312821898
371	0.6312039091
372	0.631050794
373	0.6309471545
374	0.630894523
375	0.6308022704
376	0.6307194457
377	0.6305993389
378	0.6304916413
379	0.6303561386
380	0.6302838412
381	0.6301911412
382	0.6300880898
383	0.6299823942
384	0.629830517
385	0.6296977988
386	0.6295716648
387	0.6294531844
388	0.6293403366
389	0.6291908361
390	0.6290957222
391	0.6289288368
392	0.6288020935
393	0.6286886417
394	0.6285567161
395	0.6284044733
396	0.6283016549
397	0.6281864005
398	0.6280627994
399	0.6279276392
400	0.6277868654
401	0.6276322179
402	0.6275012119
403	0.6273884976
404	0.6272801211
405	0.6271537877
406	0.6270039021
407	0.6268940372
408	0.6267884479
409	0.6266648071
410	0.6265703084
411	0.6264263209
412	0.6263170523
413	0.6261107929
414	0.625900252
415	0.625723703
416	0.6255797345
417	0.6254399201
418	0.6252857181
419	0.6251418717
420	0.6249832028
421	0.6248841651
422	0.6247773943
423	0.6246234192
424	0.624506016
425	0.624376217
426	0.6242437631
427	0.6241495095
428	0.6239696783
429	0.6238196083
430	0.6236823693
431	0.6235607892
432	0.6234381401
433	0.6233086549
434	0.6231482141
435	0.6230452338
436	0.6229068531
437	0.6227705884
438	0.6226735768
439	0.6225268678
440	0.6223929025
441	0.6222611145
442	0.6221056664
443	0.6219773448
444	0.6218839881
445	0.6217627042
446	0.6216579347
447	0.6215460398
448	0.6214330017
449	0.6212943375
450	0.6212008791
451	0.6210550058
452	0.620921276
453	0.6208427603
454	0.6207185049
455	0.6206015815
456	0.6204852782
457	0.6203799734
458	0.620256234
459	0.62015332
460	0.6200278762
461	0.6198482991
462	0.6197428843
463	0.619617474
464	0.6195073279
465	0.6193909812
466	0.61924095
467	0.6191046069
468	0.6189795224
469	0.6188611039
470	0.6187175947
471	0.6185587508
472	0.6184026341
473	0.6182691876
474	0.618146258
475	0.6180278886
476	0.6179174243
477	0.6177954646
478	0.6176648706
479	0.6175162986
480	0.6173683162
481	0.6172420297
482	0.6171412342
483	0.6169992171
484	0.6168892597
485	0.6167566816
486	0.6166139982
487	0.6164765096
488	0.6163385559
489	0.6161926051
490	0.616031512
491	0.6158910744
492	0.6157692176
493	0.6156438539
494	0.615526144
495	0.6153830951
496	0.6152880453
497	0.6151824985
498	0.6150570169
499	0.6149085327
500	0.614796095
501	0.6146374759
502	0.6145173983
503	0.6143834194
504	0.614238276
505	0.6140957789
506	0.6139844953
507	0.613888429
508	0.6137386192
509	0.6135687814
510	0.6134463927
511	0.6133524923
512	0.6132123013
513	0.6130190887
514	0.6128989561
515	0.6128000194
516	0.6127006003
517	0.6125746446
518	0.6124739056
519	0.6123407703
520	0.6122435519
521	0.6121302172
